BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	source_name_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	disease_s
SAMN03220440	SRX768412	1262	851	SRR1663220	SRS752585	GSM1554583	PB	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220433	SRX768413	4693	3064	SRR1663221	SRS752586	GSM1554584	PB	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220435	SRX768414	3672	2412	SRR1663222	SRS752587	GSM1554585	PB	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220478	SRX768415	4376	2875	SRR1663223	SRS752590	GSM1554586	BM	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220457	SRX768416	4512	3333	SRR1663224	SRS752588	GSM1554587	BM	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220465	SRX768417	1951	1410	SRR1663225	SRS752589	GSM1554588	PB	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220465	SRX768417	1744	1183	SRR1663226	SRS752589	GSM1554588	PB	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220425	SRX768418	2325	1672	SRR1663227	SRS752593	GSM1554589	PB	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220425	SRX768418	1764	1188	SRR1663228	SRS752593	GSM1554589	PB	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220468	SRX768419	3918	2670	SRR1663229	SRS752591	GSM1554590	PB	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220427	SRX768420	4731	3125	SRR1663230	SRS752594	GSM1554591	PB	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220441	SRX768421	2311	1659	SRR1663231	SRS752592	GSM1554592	PB	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220441	SRX768421	1857	1187	SRR1663232	SRS752592	GSM1554592	PB	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220426	SRX768422	5170	3415	SRR1663233	SRS752596	GSM1554593	BM	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220421	SRX768407	3177	2025	SRR1663211	SRS752581	GSM1554578	BM	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220421	SRX768407	471	305	SRR1663212	SRS752581	GSM1554578	BM	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220424	SRX768408	3424	2254	SRR1663213	SRS752580	GSM1554579	BM	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220476	SRX768409	2486	1785	SRR1663214	SRS752582	GSM1554580	BM	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220476	SRX768409	1668	1070	SRR1663215	SRS752582	GSM1554580	BM	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220470	SRX768410	4003	2627	SRR1663216	SRS752583	GSM1554581	BM	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
SAMN03220449	SRX768411	2471	1722	SRR1663217	SRS752584	GSM1554582	BM	RNA-Seq	100	PRJNA268523	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2014-11-25	Homo sapiens	ILLUMINA	2015-01-02	SRP050272	Acute Myeloid Leukemia
